"gsid","index_no","station","district","year","month","day","max_temp"
"168","1319","Biratnagar Airport","Morang","2016","01","20","22.6"
"168","1319","Biratnagar Airport","Morang","2016","01","21","16.2"
"168","1319","Biratnagar Airport","Morang","2016","01","22","17"
"168","1319","Biratnagar Airport","Morang","2016","01","23","14"
"168","1319","Biratnagar Airport","Morang","2016","01","24","13.5"
"168","1319","Biratnagar Airport","Morang","2016","01","25","19"
"168","1319","Biratnagar Airport","Morang","2016","01","26","20.3"
"168","1319","Biratnagar Airport","Morang","2016","01","27","23.5"
"168","1319","Biratnagar Airport","Morang","2016","01","28","24"
"168","1319","Biratnagar Airport","Morang","2016","01","29","24.2"
"168","1319","Biratnagar Airport","Morang","2016","01","30","23.4"
"168","1319","Biratnagar Airport","Morang","2016","01","31","24.8"
"168","1319","Biratnagar Airport","Morang","2016","02","01","25.5"
"168","1319","Biratnagar Airport","Morang","2016","02","02","24.5"
"168","1319","Biratnagar Airport","Morang","2016","02","03","25.5"
"168","1319","Biratnagar Airport","Morang","2016","02","04","25.5"
"168","1319","Biratnagar Airport","Morang","2016","02","05","24.7"
"168","1319","Biratnagar Airport","Morang","2016","02","06","26.5"
"168","1319","Biratnagar Airport","Morang","2016","02","07","29.7"
"168","1319","Biratnagar Airport","Morang","2016","02","08","24.5"
"168","1319","Biratnagar Airport","Morang","2016","02","09","27.5"
"168","1319","Biratnagar Airport","Morang","2016","02","10","26.8"
"168","1319","Biratnagar Airport","Morang","2016","02","11","27.2"
"168","1319","Biratnagar Airport","Morang","2016","02","12","26"
"168","1319","Biratnagar Airport","Morang","2016","02","13","27.5"
"168","1319","Biratnagar Airport","Morang","2016","02","14","27.5"
"168","1319","Biratnagar Airport","Morang","2016","02","15","30"
"168","1319","Biratnagar Airport","Morang","2016","02","16","29"
"168","1319","Biratnagar Airport","Morang","2016","02","17","28"
"168","1319","Biratnagar Airport","Morang","2016","02","18","28.2"
"168","1319","Biratnagar Airport","Morang","2016","02","19","29.7"
"168","1319","Biratnagar Airport","Morang","2016","02","20","29.5"
"168","1319","Biratnagar Airport","Morang","2016","02","21","31.7"
"168","1319","Biratnagar Airport","Morang","2016","02","22","28"
"168","1319","Biratnagar Airport","Morang","2016","02","23","28"
"168","1319","Biratnagar Airport","Morang","2016","02","24","29.5"
"168","1319","Biratnagar Airport","Morang","2016","02","25","29"
"168","1319","Biratnagar Airport","Morang","2016","02","26","30.5"
"168","1319","Biratnagar Airport","Morang","2016","02","27","31.5"
"168","1319","Biratnagar Airport","Morang","2016","02","28","31.5"
"168","1319","Biratnagar Airport","Morang","2016","02","29","31.2"
"168","1319","Biratnagar Airport","Morang","2016","03","01","31"
"168","1319","Biratnagar Airport","Morang","2016","03","02","31"
"168","1319","Biratnagar Airport","Morang","2016","03","03","30.5"
"168","1319","Biratnagar Airport","Morang","2016","03","04","30"
"168","1319","Biratnagar Airport","Morang","2016","03","05","30.4"
"168","1319","Biratnagar Airport","Morang","2016","03","06","31.2"
"168","1319","Biratnagar Airport","Morang","2016","03","07","32"
"168","1319","Biratnagar Airport","Morang","2016","03","08","33"
"168","1319","Biratnagar Airport","Morang","2016","03","09","34"
"168","1319","Biratnagar Airport","Morang","2016","03","10","33.7"
"168","1319","Biratnagar Airport","Morang","2016","03","11","32.3"
"168","1319","Biratnagar Airport","Morang","2016","03","12","32"
"168","1319","Biratnagar Airport","Morang","2016","03","13","28.5"
"168","1319","Biratnagar Airport","Morang","2016","03","14","29.5"
"168","1319","Biratnagar Airport","Morang","2016","03","15","32"
"168","1319","Biratnagar Airport","Morang","2016","03","16","31.5"
"168","1319","Biratnagar Airport","Morang","2016","03","17","32"
