"gsid","index_no","station","district","year","month","day","min_temp"
"168","1319","Biratnagar Airport","Morang","2015","12","17","8"
"168","1319","Biratnagar Airport","Morang","2015","12","18","8.4"
"168","1319","Biratnagar Airport","Morang","2015","12","19","8.3"
"168","1319","Biratnagar Airport","Morang","2015","12","20","8.3"
"168","1319","Biratnagar Airport","Morang","2015","12","21","8"
"168","1319","Biratnagar Airport","Morang","2015","12","22","7.9"
"168","1319","Biratnagar Airport","Morang","2015","12","23","6.4"
"168","1319","Biratnagar Airport","Morang","2015","12","24","5.5"
"168","1319","Biratnagar Airport","Morang","2015","12","25","4.9"
"168","1319","Biratnagar Airport","Morang","2015","12","26","5.4"
"168","1319","Biratnagar Airport","Morang","2015","12","27","5.6"
"168","1319","Biratnagar Airport","Morang","2015","12","28","6.7"
"168","1319","Biratnagar Airport","Morang","2015","12","29","7.5"
"168","1319","Biratnagar Airport","Morang","2015","12","30","8.6"
"168","1319","Biratnagar Airport","Morang","2015","12","31","8.7"
"168","1319","Biratnagar Airport","Morang","2016","01","01","9.5"
"168","1319","Biratnagar Airport","Morang","2016","01","02","10.5"
"168","1319","Biratnagar Airport","Morang","2016","01","03","9.6"
"168","1319","Biratnagar Airport","Morang","2016","01","04","9.6"
"168","1319","Biratnagar Airport","Morang","2016","01","05","9.8"
"168","1319","Biratnagar Airport","Morang","2016","01","06","10.2"
"168","1319","Biratnagar Airport","Morang","2016","01","07","10.3"
"168","1319","Biratnagar Airport","Morang","2016","01","08","10.5"
"168","1319","Biratnagar Airport","Morang","2016","01","09","12.3"
"168","1319","Biratnagar Airport","Morang","2016","01","10","9.4"
"168","1319","Biratnagar Airport","Morang","2016","01","11","8.5"
"168","1319","Biratnagar Airport","Morang","2016","01","12","8.5"
"168","1319","Biratnagar Airport","Morang","2016","01","13","8"
"168","1319","Biratnagar Airport","Morang","2016","01","14","8.3"
"168","1319","Biratnagar Airport","Morang","2016","01","15","9"
"168","1319","Biratnagar Airport","Morang","2016","01","16","9.5"
"168","1319","Biratnagar Airport","Morang","2016","01","17","10.9"
"168","1319","Biratnagar Airport","Morang","2016","01","18","9.3"
"168","1319","Biratnagar Airport","Morang","2016","01","19","11"
"168","1319","Biratnagar Airport","Morang","2016","01","20","13.9"
"168","1319","Biratnagar Airport","Morang","2016","01","21","14.3"
"168","1319","Biratnagar Airport","Morang","2016","01","22","12.7"
"168","1319","Biratnagar Airport","Morang","2016","01","23","8.8"
"168","1319","Biratnagar Airport","Morang","2016","01","24","7.2"
"168","1319","Biratnagar Airport","Morang","2016","01","25","8"
"168","1319","Biratnagar Airport","Morang","2016","01","26","8"
"168","1319","Biratnagar Airport","Morang","2016","01","27","6.5"
"168","1319","Biratnagar Airport","Morang","2016","01","28","7"
"168","1319","Biratnagar Airport","Morang","2016","01","29","7.5"
"168","1319","Biratnagar Airport","Morang","2016","01","30","7.3"
